InvoiceNo,Store,ItemCategory,Price,Quantity,TotalAmount,Date,PaymentMethod,Discount_Percentage,Discount_Amount,Net_Sales_Amount,Effective_Discount_Per_Item,,
INV00343,Store B,Shoes,23.7,2,47.4,2021-08-24T18:41:07.9728430,Credit Card,10.00%,2.37,4.74,1.19,,
INV01475,Store B,Shoes,151.13,2,302.26,2021-08-24T18:41:07.9728430,Online Payment,15.00%,22.67,45.34,11.33,,
INV01376,Store B,Shoes,188.45,3,565.35,2021-08-24T18:41:07.9728430,Online Payment,15.00%,28.27,84.80,9.42,,
INV00500,Store A,Jeans,194.81,2,389.62,2021-08-24T18:41:07.9728430,Debit Card,15.00%,29.22,58.44,14.61,,
INV00986,Store A,Accessories,186.95,4,747.8,2021-08-24T18:41:07.9728430,Online Payment,15.00%,28.04,112.17,7.01,,
INV01547,Store C,T-Shirts,16.11,2,32.22,2021-08-24T18:41:07.9728430,Debit Card,10.00%,1.61,3.22,0.81,,
INV00050,Store B,Shoes,57,3,171,2021-08-24T18:41:07.9728430,Online Payment,10.00%,5.70,17.10,1.90,,
INV01294,Store C,Dresses,65.32,1,65.32,2021-08-24T18:41:07.9728430,Credit Card,10.00%,6.53,6.53,6.53,,
INV00674,Store B,Dresses,133.78,4,535.12,2021-08-24T18:41:07.9728430,Debit Card,12.00%,16.05,64.21,4.01,,
INV00501,Store B,Jeans,110.27,1,110.27,2021-08-24T18:41:07.9728430,Cash,12.00%,13.23,13.23,13.23,,
INV01566,Store C,T-Shirts,26,2,52,2021-08-24T18:41:07.9728430,Debit Card,10.00%,2.60,5.20,1.30,,
INV01524,Store B,Dresses,172.61,3,517.83,2021-08-25T18:41:07.9728430,Credit Card,15.00%,25.89,77.67,8.63,,
INV00375,Store C,Jackets,161.18,1,161.18,2021-08-25T18:41:07.9728430,Debit Card,15.00%,24.18,24.18,24.18,,
INV01796,Store B,Shoes,105.39,1,105.39,2021-08-25T18:41:07.9728430,Online Payment,12.00%,12.65,12.65,12.65,,
INV00619,Store A,T-Shirts,192.48,4,769.92,2021-08-25T18:41:07.9728430,Online Payment,15.00%,28.87,115.49,7.22,,
INV00871,Store A,T-Shirts,144.85,2,289.7,2021-08-25T18:41:07.9728430,Online Payment,12.00%,17.38,34.76,8.69,,
INV01429,Store A,Dresses,118.55,2,237.1,2021-08-25T18:41:07.9728430,Cash,12.00%,14.23,28.45,7.11,,
INV00744,Store C,Jeans,195.28,3,585.84,2021-08-25T18:41:07.9728430,Credit Card,15.00%,29.29,87.88,9.76,,
INV01849,Store A,Shoes,96.96,3,290.88,2021-08-25T18:41:07.9728430,Cash,10.00%,9.70,29.09,3.23,,
INV01082,Store A,Jeans,143.96,2,287.92,2021-08-25T18:41:07.9728430,Online Payment,12.00%,17.28,34.55,8.64,,
INV01908,Store B,Jeans,133.23,4,532.92,2021-08-25T18:41:07.9728430,Credit Card,12.00%,15.99,63.95,4.00,,
INV01367,Store B,Jackets,23.12,4,92.48,2021-08-25T18:41:07.9728430,Credit Card,10.00%,2.31,9.25,0.58,,
INV01167,Store C,T-Shirts,60,3,180,2021-08-25T18:41:07.9728430,Online Payment,10.00%,6.00,18.00,2.00,,
INV01580,Store C,T-Shirts,21.93,1,21.93,2021-08-25T18:41:07.9728430,Credit Card,10.00%,2.19,2.19,2.19,,
INV01566,Store A,Jeans,104.8,2,209.6,2021-08-25T18:41:07.9728430,Debit Card,12.00%,12.58,25.15,6.29,,
INV00781,Store C,Dresses,14.14,2,28.28,2021-08-26T18:41:07.9728430,Cash,10.00%,1.41,2.83,0.71,,
INV00257,Store C,Jackets,138.95,3,416.85,2021-08-26T18:41:07.9728430,Cash,12.00%,16.67,50.02,5.56,,
INV01855,Store B,Shoes,29.47,4,117.88,2021-08-26T18:41:07.9728430,Online Payment,10.00%,2.95,11.79,0.74,,
INV00630,Store C,Shoes,143.77,2,287.54,2021-08-26T18:41:07.9728430,Cash,12.00%,17.25,34.50,8.63,,
INV00810,Store B,Dresses,117.4,4,469.6,2021-08-26T18:41:07.9728430,Cash,12.00%,14.09,56.35,3.52,,
INV01641,Store B,Dresses,194.74,3,584.22,2021-08-26T18:41:07.9728430,Online Payment,15.00%,29.21,87.63,9.74,,
INV01662,Store C,Shoes,42.21,4,168.84,2021-08-26T18:41:07.9728430,Debit Card,10.00%,4.22,16.88,1.06,,
INV00301,Store C,Jackets,72.35,2,144.7,2021-08-26T18:41:07.9728430,Cash,10.00%,7.24,14.47,3.62,,
INV00567,Store B,T-Shirts,81.23,2,162.46,2021-08-26T18:41:07.9728430,Cash,10.00%,8.12,16.25,4.06,,
INV00818,Store B,Dresses,27.79,2,55.58,2021-08-26T18:41:07.9728430,Online Payment,10.00%,2.78,5.56,1.39,,
INV00978,Store C,Jeans,43.77,4,175.08,2021-08-26T18:41:07.9728430,Debit Card,10.00%,4.38,17.51,1.09,,
INV00043,Store B,Accessories,95.59,2,191.18,2021-08-26T18:41:07.9728430,Debit Card,10.00%,9.56,19.12,4.78,,
INV00709,Store B,Shoes,153.02,2,306.04,2021-08-27T18:41:07.9728430,Debit Card,15.00%,22.95,45.91,11.48,,
INV00453,Store B,Shoes,170.89,3,512.67,2021-08-27T18:41:07.9728430,Online Payment,15.00%,25.63,76.90,8.54,,
INV01438,Store A,Jackets,19.48,3,58.44,2021-08-27T18:41:07.9728430,Online Payment,10.00%,1.95,5.84,0.65,,
INV00365,Store A,Jackets,171.12,4,684.48,2021-08-27T18:41:07.9728430,Credit Card,15.00%,25.67,102.67,6.42,,
INV01133,Store A,T-Shirts,128.63,4,514.52,2021-08-27T18:41:07.9728430,Cash,12.00%,15.44,61.74,3.86,,
INV01605,Store B,Jeans,29.6,1,29.6,2021-08-27T18:41:07.9728430,Cash,10.00%,2.96,2.96,2.96,,
INV01732,Store A,T-Shirts,72.15,4,288.6,2021-08-27T18:41:07.9728430,Credit Card,10.00%,7.22,28.86,1.80,,
INV01991,Store C,Shoes,62.2,2,124.4,2021-08-27T18:41:07.9728430,Cash,10.00%,6.22,12.44,3.11,,
INV00259,Store B,Dresses,158.12,3,474.36,2021-08-27T18:41:07.9728430,Credit Card,15.00%,23.72,71.15,7.91,,
INV00235,Store C,Jackets,18.86,1,18.86,2021-08-27T18:41:07.9728430,Cash,10.00%,1.89,1.89,1.89,,
INV00876,Store C,T-Shirts,150.71,1,150.71,2021-08-28T18:41:07.9728430,Cash,15.00%,22.61,22.61,22.61,,
INV00193,Store C,Dresses,153.11,2,306.22,2021-08-28T18:41:07.9728430,Credit Card,15.00%,22.97,45.93,11.48,,
INV00348,Store C,Accessories,155.05,1,155.05,2021-08-28T18:41:07.9728430,Cash,15.00%,23.26,23.26,23.26,,
INV00930,Store C,Jeans,128.92,2,257.84,2021-08-28T18:41:07.9728430,Online Payment,12.00%,15.47,30.94,7.74,,
INV01612,Store B,Jeans,99.13,1,99.13,2021-08-28T18:41:07.9728430,Credit Card,10.00%,9.91,9.91,9.91,,
INV01724,Store A,T-Shirts,155.4,4,621.6,2021-08-28T18:41:07.9728430,Online Payment,15.00%,23.31,93.24,5.83,,
INV00636,Store B,Dresses,93.26,4,373.04,2021-08-29T18:41:07.9728430,Cash,10.00%,9.33,37.30,2.33,,
INV00629,Store C,T-Shirts,71.84,4,287.36,2021-08-29T18:41:07.9728430,Cash,10.00%,7.18,28.74,1.80,,
INV00700,Store B,Accessories,109.28,2,218.56,2021-08-29T18:41:07.9728430,Online Payment,12.00%,13.11,26.23,6.56,,
INV01890,Store B,Jeans,146.43,2,292.86,2021-08-29T18:41:07.9728430,Online Payment,12.00%,17.57,35.14,8.79,,
INV00663,Store B,T-Shirts,88.37,3,265.11,2021-08-29T18:41:07.9728430,Online Payment,10.00%,8.84,26.51,2.95,,
INV01890,Store A,Jeans,37.62,1,37.62,2021-08-29T18:41:07.9728430,Online Payment,10.00%,3.76,3.76,3.76,,
INV00087,Store B,Jeans,106.4,3,319.2,2021-08-29T18:41:07.9728430,Debit Card,12.00%,12.77,38.30,4.26,,
INV00848,Store B,Shoes,189.87,2,379.74,2021-08-29T18:41:07.9728430,Cash,15.00%,28.48,56.96,14.24,,
INV01714,Store A,Jackets,168.72,1,168.72,2021-08-29T18:41:07.9728430,Online Payment,15.00%,25.31,25.31,25.31,,
INV01727,Store C,T-Shirts,59.25,2,118.5,2021-08-29T18:41:07.9728430,Credit Card,10.00%,5.93,11.85,2.96,,
INV01247,Store B,Jackets,145.36,1,145.36,2021-08-29T18:41:07.9728430,Debit Card,12.00%,17.44,17.44,17.44,,
INV01379,Store C,Shoes,39.98,1,39.98,2021-08-30T18:41:07.9728430,Cash,10.00%,4.00,4.00,4.00,,
INV00727,Store A,Jackets,146.51,2,293.02,2021-08-30T18:41:07.9728430,Debit Card,12.00%,17.58,35.16,8.79,,
INV01002,Store C,T-Shirts,98.66,4,394.64,2021-08-30T18:41:07.9728430,Credit Card,10.00%,9.87,39.46,2.47,,
INV00460,Store B,Accessories,102.83,2,205.66,2021-08-30T18:41:07.9728430,Cash,12.00%,12.34,24.68,6.17,,
INV01523,Store C,Dresses,66.28,4,265.12,2021-08-30T18:41:07.9728430,Credit Card,10.00%,6.63,26.51,1.66,,
INV00541,Store A,Jackets,138.12,3,414.36,2021-08-30T18:41:07.9728430,Debit Card,12.00%,16.57,49.72,5.52,,
INV01776,Store A,Accessories,40.63,3,121.89,2021-08-30T18:41:07.9728430,Cash,10.00%,4.06,12.19,1.35,,
INV00533,Store B,Jeans,113.92,4,455.68,2021-08-30T18:41:07.9728430,Online Payment,12.00%,13.67,54.68,3.42,,
INV00041,Store A,T-Shirts,102.24,1,102.24,2021-08-30T18:41:07.9728430,Debit Card,12.00%,12.27,12.27,12.27,,
INV01929,Store B,T-Shirts,130.47,2,260.94,2021-08-30T18:41:07.9728430,Debit Card,12.00%,15.66,31.31,7.83,,
INV01098,Store A,Dresses,83.44,3,250.32,2021-08-31T18:41:07.9728430,Online Payment,10.00%,8.34,25.03,2.78,,
INV00455,Store C,Shoes,89.19,2,178.38,2021-08-31T18:41:07.9728430,Cash,10.00%,8.92,17.84,4.46,,
INV01214,Store B,Jeans,129.18,4,516.72,2021-08-31T18:41:07.9728430,Online Payment,12.00%,15.50,62.01,3.88,,
INV00847,Store B,Jackets,113.06,3,339.18,2021-08-31T18:41:07.9728430,Cash,12.00%,13.57,40.70,4.52,,
INV01500,Store A,Accessories,170.53,3,511.59,2021-08-31T18:41:07.9728430,Debit Card,15.00%,25.58,76.74,8.53,,
INV01428,Store B,Jeans,162.4,4,649.6,2021-09-01T18:41:07.9728430,Online Payment,15.00%,24.36,97.44,6.09,,
INV00407,Store B,Accessories,88.01,3,264.03,2021-09-01T18:41:07.9728430,Debit Card,10.00%,8.80,26.40,2.93,,
INV01782,Store A,Shoes,194.62,3,583.86,2021-09-01T18:41:07.9728430,Credit Card,15.00%,29.19,87.58,9.73,,
INV01351,Store A,Accessories,127.59,2,255.18,2021-09-01T18:41:07.9728430,Debit Card,12.00%,15.31,30.62,7.66,,
INV00305,Store B,Jackets,189.8,4,759.2,2021-09-01T18:41:07.9728430,Credit Card,15.00%,28.47,113.88,7.12,,
INV01758,Store C,Dresses,36.05,3,108.15,2021-09-01T18:41:07.9728430,Debit Card,10.00%,3.61,10.82,1.20,,
INV01805,Store B,Accessories,97.88,4,391.52,2021-09-01T18:41:07.9728430,Credit Card,10.00%,9.79,39.15,2.45,,
INV01964,Store B,Dresses,102.48,2,204.96,2021-09-01T18:41:07.9728430,Credit Card,12.00%,12.30,24.60,6.15,,
INV00383,Store B,Accessories,161.4,1,161.4,2021-09-01T18:41:07.9728430,Debit Card,15.00%,24.21,24.21,24.21,,
INV00156,Store B,T-Shirts,29.27,3,87.81,2021-09-01T18:41:07.9728430,Credit Card,10.00%,2.93,8.78,0.98,,
INV01009,Store A,Shoes,90.31,4,361.24,2021-09-01T18:41:07.9728430,Debit Card,10.00%,9.03,36.12,2.26,,
INV01295,Store A,Jackets,184.54,2,369.08,2021-09-01T18:41:07.9728430,Credit Card,15.00%,27.68,55.36,13.84,,
INV01326,Store B,Shoes,26.05,3,78.15,2021-09-01T18:41:07.9728430,Credit Card,10.00%,2.61,7.82,0.87,,
INV00368,Store A,Dresses,154.71,1,154.71,2021-09-01T18:41:07.9728430,Debit Card,15.00%,23.21,23.21,23.21,,
INV00223,Store A,T-Shirts,194.86,1,194.86,2021-09-01T18:41:07.9728430,Online Payment,15.00%,29.23,29.23,29.23,,
INV00167,Store A,T-Shirts,74.01,3,222.03,2021-09-01T18:41:07.9728430,Online Payment,10.00%,7.40,22.20,2.47,,
INV00391,Store C,T-Shirts,125.11,1,125.11,2021-09-01T18:41:07.9728430,Credit Card,12.00%,15.01,15.01,15.01,,
INV00308,Store B,Jackets,33.94,2,67.88,2021-09-02T18:41:07.9728430,Credit Card,10.00%,3.39,6.79,1.70,,
INV01196,Store C,Jeans,193.74,3,581.22,2021-09-02T18:41:07.9728430,Credit Card,15.00%,29.06,87.18,9.69,,
INV00288,Store B,Jackets,36.53,4,146.12,2021-09-02T18:41:07.9728430,Debit Card,10.00%,3.65,14.61,0.91,,
INV00862,Store B,Jeans,87.53,4,350.12,2021-09-02T18:41:07.9728430,Online Payment,10.00%,8.75,35.01,2.19,,
INV00491,Store B,Jeans,45.27,2,90.54,2021-09-02T18:41:07.9728430,Online Payment,10.00%,4.53,9.05,2.26,,
INV01554,Store A,Jeans,142.87,1,142.87,2021-09-02T18:41:07.9728430,Cash,12.00%,17.14,17.14,17.14,,
INV00927,Store A,Jeans,160.46,4,641.84,2021-09-03T18:41:07.9728430,Debit Card,15.00%,24.07,96.28,6.02,,
INV00529,Store A,Jackets,195.08,3,585.24,2021-09-03T18:41:07.9728430,Debit Card,15.00%,29.26,87.79,9.75,,
INV01904,Store C,Accessories,50.06,4,200.24,2021-09-03T18:41:07.9728430,Credit Card,10.00%,5.01,20.02,1.25,,
INV01863,Store C,Jackets,27.83,1,27.83,2021-09-03T18:41:07.9728430,Online Payment,10.00%,2.78,2.78,2.78,,
INV01763,Store C,Jackets,127.86,3,383.58,2021-09-03T18:41:07.9728430,Credit Card,12.00%,15.34,46.03,5.11,,
INV00208,Store C,Shoes,49.03,4,196.12,2021-09-03T18:41:07.9728430,Online Payment,10.00%,4.90,19.61,1.23,,
INV01953,Store B,Dresses,127.75,1,127.75,2021-09-03T18:41:07.9728430,Online Payment,12.00%,15.33,15.33,15.33,,
INV00192,Store A,Dresses,51.93,1,51.93,2021-09-03T18:41:07.9728430,Cash,10.00%,5.19,5.19,5.19,,
INV00566,Store B,Accessories,109.36,3,328.08,2021-09-03T18:41:07.9728430,Debit Card,12.00%,13.12,39.37,4.37,,
INV00033,Store B,T-Shirts,184.88,4,739.52,2021-09-03T18:41:07.9728430,Cash,15.00%,27.73,110.93,6.93,,
INV01867,Store B,Shoes,195.15,4,780.6,2021-09-03T18:41:07.9728430,Credit Card,15.00%,29.27,117.09,7.32,,
INV01708,Store A,Dresses,78.6,4,314.4,2021-09-03T18:41:07.9728430,Debit Card,10.00%,7.86,31.44,1.97,,
INV00974,Store A,Shoes,14.25,1,14.25,2021-09-03T18:41:07.9728430,Debit Card,10.00%,1.43,1.43,1.43,,
INV01309,Store C,Accessories,39.87,4,159.48,2021-09-04T18:41:07.9728430,Debit Card,10.00%,3.99,15.95,1.00,,
INV00584,Store B,Dresses,37.95,2,75.9,2021-09-04T18:41:07.9728430,Online Payment,10.00%,3.80,7.59,1.90,,
INV00271,Store A,Shoes,160.42,3,481.26,2021-09-04T18:41:07.9728430,Online Payment,15.00%,24.06,72.19,8.02,,
INV01251,Store C,Jeans,24.98,3,74.94,2021-09-04T18:41:07.9728430,Cash,10.00%,2.50,7.49,0.83,,
INV01687,Store A,Shoes,101.17,4,404.68,2021-09-04T18:41:07.9728430,Online Payment,12.00%,12.14,48.56,3.04,,
INV00814,Store B,Accessories,129.57,4,518.28,2021-09-04T18:41:07.9728430,Cash,12.00%,15.55,62.19,3.89,,
INV01462,Store C,Shoes,16.04,1,16.04,2021-09-04T18:41:07.9728430,Cash,10.00%,1.60,1.60,1.60,,
INV01864,Store C,Jackets,107.22,2,214.44,2021-09-04T18:41:07.9728430,Cash,12.00%,12.87,25.73,6.43,,
INV01912,Store A,Jackets,35.79,3,107.37,2021-09-04T18:41:07.9728430,Credit Card,10.00%,3.58,10.74,1.19,,
INV00767,Store A,Accessories,113.15,4,452.6,2021-09-05T18:41:07.9728430,Debit Card,12.00%,13.58,54.31,3.39,,
INV01452,Store B,Dresses,46.98,1,46.98,2021-09-05T18:41:07.9728430,Cash,10.00%,4.70,4.70,4.70,,
INV01010,Store A,Jackets,23.03,3,69.09,2021-09-05T18:41:07.9728430,Online Payment,10.00%,2.30,6.91,0.77,,
INV01369,Store C,Jackets,95.1,4,380.4,2021-09-05T18:41:07.9728430,Debit Card,10.00%,9.51,38.04,2.38,,
INV01553,Store A,Accessories,82.79,4,331.16,2021-09-05T18:41:07.9728430,Online Payment,10.00%,8.28,33.12,2.07,,
INV00167,Store B,Jackets,32.58,4,130.32,2021-09-05T18:41:07.9728430,Credit Card,10.00%,3.26,13.03,0.81,,
INV00993,Store A,Accessories,117.73,3,353.19,2021-09-05T18:41:07.9728430,Online Payment,12.00%,14.13,42.38,4.71,,
INV01359,Store A,Jeans,160.36,1,160.36,2021-09-05T18:41:07.9728430,Credit Card,15.00%,24.05,24.05,24.05,,
INV01188,Store B,T-Shirts,17.68,4,70.72,2021-09-05T18:41:07.9728430,Online Payment,10.00%,1.77,7.07,0.44,,
INV01712,Store B,Accessories,135.14,2,270.28,2021-09-06T18:41:07.9728430,Debit Card,12.00%,16.22,32.43,8.11,,
INV01313,Store B,Dresses,60.43,3,181.29,2021-09-06T18:41:07.9728430,Online Payment,10.00%,6.04,18.13,2.01,,
INV01824,Store A,Jeans,156.22,4,624.88,2021-09-06T18:41:07.9728430,Debit Card,15.00%,23.43,93.73,5.86,,
